"year","month","state","latitude","longitude","firespots"
"1999","1","AMAZONAS","-2.3711133333333333","-59.8999333333333333","3"
"1999","1","MARANHAO","-2.2573947222222222","-45.4878305555555556","36"
"1999","1","MATO GROSSO","-12.6606333333333333","-55.0579888888888889","18"
"1999","1","PARA","-2.4748204597701149","-48.5469666666666667","87"
"1999","1","RONDONIA","-12.8617000000000000","-60.5131000000000000","1"
"1999","1","RORAIMA","3.4032246666666667","-60.6228533333333333","15"
"1999","2","AMAPA","-0.15500000000000000000","-52.6831000000000000","1"
"1999","2","AMAZONAS","-2.7631669767441860","-63.4297813953488372","43"
"1999","2","MATO GROSSO","-12.6199875000000000","-55.3753625000000000","8"
"1999","2","PARA","-2.1506174385964912","-53.5099105263157895","285"
"1999","2","RONDONIA","-9.8750000000000000","-62.5617000000000000","1"
"1999","2","RORAIMA","2.2562095000000000","-61.0769400000000000","20"
"1999","3","AMAPA","1.13833500000000000000","-50.4615500000000000","2"
"1999","3","AMAZONAS","-4.1048057142857143","-66.1014142857142857","7"
"1999","3","MARANHAO","-3.5048650000000000","-45.6928000000000000","4"
"1999","3","MATO GROSSO","-12.3161500000000000","-55.9678000000000000","4"
"1999","3","PARA","-5.0887714285714286","-52.3333428571428571","7"
"1999","3","RONDONIA","-12.7341125000000000","-62.1526625000000000","8"
"1999","3","RORAIMA","2.1765896938775510","-60.6842071428571429","98"
"1999","4","AMAZONAS","-3.7330600000000000","-63.6458500000000000","2"
"1999","4","MATO GROSSO","-12.0328976744186047","-55.7323790697674419","43"
"1999","4","PARA","-6.3920866666666667","-52.2840166666666667","6"
"1999","4","RONDONIA","-9.2280733333333333","-63.2332666666666667","3"
"1999","4","RORAIMA","2.7236312500000000","-60.9137437500000000","16"
"1999","5","MATO GROSSO","-12.3922571428571429","-55.3351743764172336","441"
"1999","5","PARA","-5.5206975000000000","-51.3335750000000000","4"
"1999","5","RONDONIA","-11.6626333333333333","-62.5489000000000000","3"
"1999","5","TOCANTINS","-7.0280600000000000","-49.1731000000000000","1"
"1999","6","AMAPA","0.39916500000000000000","-52.4690500000000000","2"
"1999","6","AMAZONAS","-2.0875414285714286","-64.4829285714285714","7"
"1999","6","MARANHAO","-4.9130600000000000","-46.9517000000000000","1"
"1999","6","MATO GROSSO","-12.0359469622093023","-55.3537178779069767","1376"
"1999","6","PARA","-4.9392364864864865","-49.5191297297297297","37"
"1999","6","RONDONIA","-12.1966300000000000","-60.8217800000000000","10"
"1999","6","RORAIMA","1.24602000000000000000","-60.3689000000000000","3"
"1999","6","TOCANTINS","-7.7515766666666667","-49.1432666666666667","3"
"1999","7","ACRE","-8.1700000000000000","-72.5900000000000000","1"
"1999","7","AMAZONAS","-6.9432609090909091","-60.5008272727272727","11"
"1999","7","MARANHAO","-4.6019595454545455","-46.9733068181818182","44"
"1999","7","MATO GROSSO","-11.6260678285483219","-56.1577915082895269","2473"
"1999","7","PARA","-6.4642250407331976","-51.7884072301425662","982"
"1999","7","RONDONIA","-11.2395537037037037","-61.9089088888888889","135"
"1999","7","RORAIMA","3.2032675000000000","-60.9207250000000000","4"
"1999","7","TOCANTINS","-7.0946140000000000","-48.3251080000000000","25"
"1999","8","ACRE","-9.8640010447761194","-67.9117388059701493","67"
"1999","8","AMAZONAS","-7.3109840392156863","-60.8665517647058824","255"
"1999","8","MARANHAO","-4.4893391935483871","-46.7134247311827957","186"
"1999","8","MATO GROSSO","-11.3588131163925395","-56.2281286928464626","12707"
"1999","8","PARA","-7.0775418190645736","-51.4416634083184981","6179"
"1999","8","RONDONIA","-11.3289973127530364","-62.2476839574898785","1976"
"1999","8","RORAIMA","2.9750000000000000","-61.1131000000000000","1"
"1999","8","TOCANTINS","-7.3853362987012987","-48.6884649350649351","154"
"1999","9","ACRE","-9.8292693396226415","-68.2308051886792453","212"
"1999","9","AMAPA","0.61451750000000000000","-51.1107250000000000","4"
"1999","9","AMAZONAS","-8.0005267289719626","-64.0451892523364486","214"
"1999","9","MARANHAO","-4.3097150666666667","-46.4040733333333333","375"
"1999","9","MATO GROSSO","-11.9585820647002854","-56.0942346377599565","7357"
"1999","9","PARA","-6.5130252682816391","-50.2255589540412044","4417"
"1999","9","RONDONIA","-11.3807698790454397","-62.4353643347499183","3059"
"1999","9","RORAIMA","3.7699100000000000","-60.4866000000000000","3"
"1999","9","TOCANTINS","-7.1597557849462366","-48.5848660215053763","465"
"1999","10","ACRE","-9.5772979365079365","-68.8678587301587302","63"
"1999","10","AMAPA","1.02291360000000000000","-51.2420040000000000","25"
"1999","10","AMAZONAS","-3.8395713235294118","-61.1124636554621849","476"
"1999","10","MARANHAO","-4.4934008713692946","-46.5339087136929461","1446"
"1999","10","MATO GROSSO","-12.0217678837719298","-56.2207776589912281","3648"
"1999","10","PARA","-4.3384869140469558","-50.8621278352566653","5026"
"1999","10","RONDONIA","-10.6553920541401274","-62.6632610934182590","1884"
"1999","10","RORAIMA","2.3732790000000000","-60.2955600000000000","10"
"1999","10","TOCANTINS","-6.6890831481481481","-48.5732759259259259","216"
"1999","11","ACRE","-8.1998650000000000","-70.1432250000000000","4"
"1999","11","AMAPA","1.4564969230769231","-51.4957000000000000","26"
"1999","11","AMAZONAS","-3.2991392857142857","-62.1907035714285714","28"
"1999","11","MARANHAO","-3.6824762261014131","-46.1380494596841230","1203"
"1999","11","MATO GROSSO","-12.2997336629213483","-57.8371764044943820","445"
"1999","11","PARA","-3.0779706226696495","-49.7944293810589113","2682"
"1999","11","RONDONIA","-11.9135748780487805","-62.0088170731707317","41"
"1999","11","RORAIMA","1.9212426666666667","-59.9443400000000000","15"
"1999","11","TOCANTINS","-6.0242240000000000","-48.2243600000000000","5"
"1999","12","AMAPA","0.47458682926829268293","-51.4398926829268293","41"
"1999","12","AMAZONAS","-2.8065300000000000","-61.3717000000000000","2"
"1999","12","MARANHAO","-2.5771197978596908","-45.6616142687277051","841"
"1999","12","MATO GROSSO","-13.9933555555555556","-58.6788888888888889","18"
"1999","12","PARA","-2.7467801436031332","-49.7973979112271540","766"
"1999","12","RORAIMA","1.9247234285714286","-60.1252371428571429","35"
"2000","1","AMAPA","-0.93500000000000000000","-52.2642000000000000","2"
"2000","1","AMAZONAS","-4.9563128571428571","-63.9556571428571429","7"
"2000","1","MARANHAO","-3.5771594117647059","-46.4010882352941176","17"
"2000","1","MATO GROSSO","-13.4545000000000000","-56.9384923076923077","13"
"2000","1","PARA","-2.5552243333333333","-48.8587433333333333","30"
"2000","1","RORAIMA","3.6530433333333333","-60.1997611111111111","18"
"2000","2","AMAZONAS","-3.0155982258064516","-62.3967016129032258","62"
"2000","2","MARANHAO","-3.0099100000000000","-45.8572333333333333","3"
"2000","2","MATO GROSSO","-12.5542440000000000","-55.2265160000000000","25"
"2000","2","PARA","-3.4310562068965517","-52.6895344827586207","29"
"2000","2","RONDONIA","-12.2185500000000000","-61.6976666666666667","6"
"2000","2","RORAIMA","2.7865326315789474","-60.6867122807017544","57"
"2000","3","ACRE","-9.4455618181818182","-71.2400363636363636","11"
"2000","3","AMAZONAS","-3.1149220289855072","-62.9110318840579710","69"
"2000","3","MATO GROSSO","-12.2275300000000000","-54.3235800000000000","10"
"2000","3","PARA","-3.6916949723756906","-51.4043640883977901","181"
"2000","3","RONDONIA","-11.2458777777777778","-63.8232111111111111","9"
"2000","3","RORAIMA","2.5943224000000000","-60.6545840000000000","125"
"2000","4","ACRE","-8.4630600000000000","-70.3250000000000000","1"
"2000","4","AMAZONAS","-2.5300950000000000","-62.5466666666666667","18"
"2000","4","MARANHAO","-2.9965300000000000","-45.7183500000000000","2"
"2000","4","MATO GROSSO","-12.5362990322580645","-55.3838774193548387","31"
"2000","4","PARA","-4.6037317500000000","-51.9061750000000000","40"
"2000","5","ACRE","-8.1716700000000000","-70.9566700000000000","1"
"2000","5","AMAZONAS","-6.1656539215686275","-63.0004245098039216","51"
"2000","5","MATO GROSSO","-12.0536268928571429","-55.5222439523809524","840"
"2000","5","PARA","-4.7843058333333333","-53.1556950000000000","12"
"2000","5","RONDONIA","-12.0458886666666667","-60.8886666666666667","15"
"2000","5","RORAIMA","3.1721442857142857","-60.9871414285714286","7"
"2000","5","TOCANTINS","-6.7991650000000000","-48.4383325000000000","4"
"2000","6","ACRE","-10.1150000000000000","-67.6731000000000000","1"
"2000","6","AMAZONAS","-2.8040766666666667","-66.7407666666666667","6"
"2000","6","MARANHAO","-4.7299222580645161","-47.1184483870967742","31"
"2000","6","MATO GROSSO","-11.8501910364053788","-55.4925872745162348","3049"
"2000","6","PARA","-7.7126250847457627","-50.5918254237288136","59"
"2000","6","RONDONIA","-11.3340885185185185","-61.5076703703703704","54"
"2000","6","TOCANTINS","-8.4378554545454545","-48.6961636363636364","11"
"2000","7","ACRE","-9.6666700000000000","-68.2150000000000000","1"
"2000","7","AMAZONAS","-7.5547674358974359","-62.8275205128205128","39"
"2000","7","MARANHAO","-4.5513910416666667","-47.0141312500000000","48"
"2000","7","MATO GROSSO","-11.6074084018801410","-55.8009098707403055","851"
"2000","7","PARA","-7.2321159859154930","-52.4153826291079812","426"
"2000","7","RONDONIA","-10.7013180833333333","-62.6419650000000000","120"
"2000","7","TOCANTINS","-7.2365692000000000","-48.4039720000000000","25"
"2000","8","ACRE","-10.0322094852941176","-67.8537102941176471","136"
"2000","8","AMAPA","0.65213000000000000000","-51.1889000000000000","3"
"2000","8","AMAZONAS","-6.5250178888888889","-62.2914738888888889","180"
"2000","8","MARANHAO","-4.5849866428571429","-46.7330207142857143","140"
"2000","8","MATO GROSSO","-10.9220613307375172","-55.6202041685753550","4366"
"2000","8","PARA","-7.3407662964989059","-51.1627289204959883","5484"
